Location ID	Aquifer	Latitude	Longitude	Ground Elevation	Geologic Unit Code	Well Installation Date	Total Well Depth [ft]	Well Diameter [in]	Screen Top [ft]	Screen Bottom [ft]	Comments	WELL_COMPLETION_REPORT_URL	Monitoring Area	Watershed	Well Status	Inactive Date	TOC Elevation	LWA Notes	Source
18-01024	NULL	35.83245	-106.25194	6648.000	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	TA-54	Pajarito	NULL	NULL	[84]		Well Info	
18-01060	NULL	35.84426	-106.27114	6776.450	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
18-01063	NULL	35.84429	-106.27125	6774.600	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
18-01135	NULL	35.8421	-106.2688	6755.500	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	TA-54	Pajarito	NULL	NULL	[84]		Well Info	
18-01136	NULL	35.84201	-106.26871	6754.010	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	TA-54	Pajarito	NULL	NULL	[84]		Well Info	
18-01165	NULL	35.83904	-106.26921	6747.070	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
18-01166	NULL	35.83899	-106.26924	6747.790	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
18-01195	NULL	35.83898	-106.26475	6724.110	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
18-01196	NULL	35.83895	-106.26467	6723.340	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
18-01233	NULL	35.83966	-106.26513	6730.010	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
18-01234	NULL	35.83964	-106.26507	6732.910	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
18-01254	NULL	35.84005	-106.26633	6735.310	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
18-01255	NULL	35.84011	-106.26622	6735.900	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
18-01275	NULL	35.84031	-106.2649	6740.130	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	TA-54	Pajarito	NULL	NULL	[84]		Well Info	
18-01684	NULL	35.83641	-106.2589	6695.200	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	TA-54	Pajarito	NULL	NULL	[84]		Well Info	
18-01685	NULL	35.83237	-106.25166	6654.700	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	TA-54	Pajarito	NULL	NULL	[84]		Well Info	
18-02013	NULL	35.84249	-106.2688	6758.800	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	TA-54	Pajarito	NULL	NULL	[84]		Well Info	
18-02014	NULL	35.84231	-106.26869	6758.500	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	TA-54	Pajarito	NULL	NULL	[84]		Well Info	
18-02015	NULL	35.8423	-106.26864	6758.300	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	TA-54	Pajarito	NULL	NULL	[84]		Well Info	
18-02016	NULL	35.84234	-106.2686	6758.300	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	TA-54	Pajarito	NULL	NULL	[84]		Well Info	
18-02023	NULL	35.83999	-106.2653	6736.700	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	TA-54	Pajarito	NULL	NULL	[84]		Well Info	
18-02024	NULL	35.8397	-106.26524	6730.100	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
18-10010	NULL	35.83885	-106.26443	6725.700	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
18-10011	NULL	35.8389	-106.26459	6727.300	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
18-10012	NULL	35.83904	-106.26459	6725.800	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
18-10013	NULL	35.83902	-106.26492	6727.900	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
18-10014	NULL	35.83878	-106.26476	6727.000	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
18-10019	NULL	35.8392	-106.27095	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Record created for data migration. Coordinates loaded in 2008 for data cleanup, same xy as 'TA-18 Spring.' Coordinate accuracy is unknown., NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
18-1060	NULL	35.84426	-106.27114	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: TA-18 locid Notes: Aggregate:Monitoring Well. Coordinates loaded in 2008 for data cleanup, same xy as 18-01060 and 18-BG-1. Coordinate accuracy is unknown., NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
18-BG-1	Alluvial	35.84426	-106.27114	6776.450	Qal	1994-09-01 00:00:00	35.00	2 in	10	35.000	NULL, NULL	NULL	General	Pajarito	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
18-BG-4	Alluvial	35.83927	-106.2733	6768.000	Qal	1998-02-18 00:00:00	6.50	4 in	2.5	6.500	DGPS obtained 8/18/05 SA, CM, RK, NULL, DGPS obtained 8/18/05 SA, CM, RK, DGPS obtained 8/18/05 SA, CM, RK	NULL	General	Pajarito	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
18-MW-10	NULL	35.84011	-106.26622	6735.900	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL, TA-18	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
18-MW-11	Alluvial	35.84031	-106.2649	6740.130	Qal	NULL	47.00	2 in	27	47.000	NULL, NULL	NULL	TA-54	Pajarito	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
18-MW-12	NULL	35.83885	-106.26443	6725.7	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL, TA-18	NULL	General	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
18-MW-13	NULL	35.8389	-106.26459	6727.3	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL, TA-18	NULL	General	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
18-MW-14	NULL	35.83904	-106.26459	6725.8	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL, TA-18	NULL	General	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
18-MW-15	NULL	35.83902	-106.26492	6727.9	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL, TA-18	NULL	General	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
18-MW-16	NULL	35.83878	-106.26476	6727	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL, TA-18	NULL	General	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
18-MW-17	Alluvial	35.83641	-106.2589	6695.200	Qal	1995-09-01 00:00:00	22.00	2 in	12	22.000	NULL, NULL	NULL	TA-54	Pajarito	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
18-MW-18	Alluvial	35.83237	-106.25166	6654.7	Qal	1995-07-31 00:00:00	23.00	2	12.5	23.000	NULL, NULL, TA-18	NULL	TA-54	Pajarito	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
18-MW-8	Alluvial	35.83899	-106.26924	6747.790	Qal	1994-08-04 00:00:00	37.90	2 in	8	38.000	NULL, NULL	NULL	General	Pajarito	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
18-MW-9	Alluvial	35.83964	-106.26507	6732.910	Qal	1994-07-21 00:00:00	21.00	2 in	6	21.000	NULL, NULL, TA-18	NULL	General	Pajarito	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
20-02-20857	NULL	35.83635	-106.25871	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location R-20. Coordinate accuracy is unknown., NULL	NULL	TA-54	Pajarito	NULL	NULL	[84]		Well Info	
21-01682	NULL	35.87418	-106.27507	6756.700	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	TA-21	Los Alamos	NULL	NULL	[84]		Well Info	
21-01811	NULL	35.87787	-106.27357	7032.420	NULL	NULL	NULL	NULL	NULL	NULL	Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:DP boreholes, NULL, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:DP boreholes, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:DP boreholes	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
21-01812	NULL	35.87765	-106.27161	7026.720	NULL	NULL	NULL	NULL	NULL	NULL	Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:DP boreholes, NULL, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:DP boreholes, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:DP boreholes	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
23-02-20858	NULL	35.8239	-106.22471	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location R-23. Coordinate accuracy is unknown., NULL	NULL	TA-54	Mortendad	NULL	NULL	[84]		Well Info	
28-22573	NULL	35.86015	-106.25482	6728.610	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
32-02-20856	NULL	35.83095	-106.24872	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location R-32. Coordinate accuracy is unknown., NULL	NULL	TA-54	Pajarito	NULL	NULL	[84]		Well Info	
33-22850	NULL	35.86062	-106.27368	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location R-33. Coordinate accuracy is unknown., NULL, Coordinates loaded in 2008 for data cleanup, same xy as location R-33. Coordinate accuracy is unknown., Coordinates loaded in 2008 for data cleanup, same xy as location R-33. Coordinate accuracy is unknown.	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
34-22851	NULL	35.84825	-106.23927	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location R-34. Coordinate accuracy is unknown., NULL	NULL	General	Mortendad	NULL	NULL	[84]		Well Info	
35-02371	NULL	35.8622	-106.28734	7087.690	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes:BOREHOLE Aggregate:, NULL	NULL	General	Mortendad	NULL	NULL	[84]		Well Info	
36-02020	NULL	35.83716	-106.25843	6687.000	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	TA-54	Pajarito	NULL	NULL	[84]		Well Info	
36-02021	NULL	35.83015	-106.24567	6618.300	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	TA-54	Pajarito	NULL	NULL	[84]		Well Info	
36-02022	NULL	35.82478	-106.23088	6546.300	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
36-2020	NULL	35.83716	-106.25843	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as 36-02020. Coordinate accuracy is unknown., NULL	NULL	TA-54	Pajarito	NULL	NULL	[84]		Well Info	
3MAO-1a	NULL	35.84803	-106.29784	7005.060	NULL	NULL	NULL	NULL	NULL	NULL	Abandoned Location - Ground Level, NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
3MAO-2	Alluvial	35.83915	-106.27238	6759.435	Qal	2008-06-04 00:00:00	30.00	4 in	14.7	24.700	Brass Cap, NULL, Brass Cap, Brass Cap	NULL	General	Pajarito	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
41-01002	NULL	35.87655	-106.29614	6910.740	NULL	NULL	NULL	NULL	NULL	NULL	Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc:WELL IMMEDIATELY EAST OF TA-41 Notes: Aggregate:, NULL, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc:WELL IMMEDIATELY EAST OF TA-41 Notes: Aggregate:, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc:WELL IMMEDIATELY EAST OF TA-41 Notes: Aggregate:	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
41-01003	NULL	35.87704	-106.30272	6968.130	NULL	NULL	NULL	NULL	NULL	NULL	Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc:SECOND BOREHOLE/WELL WEST OF TA-41 Notes: Aggregate:, NULL, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc:SECOND BOREHOLE/WELL WEST OF TA-41 Notes: Aggregate:, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc:SECOND BOREHOLE/WELL WEST OF TA-41 Notes: Aggregate:	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
41-01004	NULL	35.87906	-106.31164	7050.000	NULL	NULL	NULL	NULL	NULL	NULL	Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:LAO-C, NULL, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:LAO-C, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:LAO-C	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
41-01045	NULL	35.87883	-106.3353	7323.590	NULL	NULL	NULL	NULL	NULL	NULL	Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc:BACKGROUND WELL WEST OF ICE RINK Notes: Aggregate:, NULL, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc:BACKGROUND WELL WEST OF ICE RINK Notes: Aggregate:, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc:BACKGROUND WELL WEST OF ICE RINK Notes: Aggregate:	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
73-01005	NULL	35.88071	-106.27206	7138.520	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:LP-5 Notes:LOCATION ID IS THE SAME AS 73-1005 Aggregate:609, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
73-01006	NULL	35.88177	-106.27343	7141.780	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:LP-6 Notes:LOCATION ID IS THE SAME AS 73-1006 Aggregate:729, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
73-01007	NULL	35.88153	-106.27115	7132.450	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:LP-7 Notes:LOCATION ID IS THE SAME AS 73-1007 Aggregate:608, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
73-01009	NULL	35.88147	-106.27234	7137.680	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:LP-9 Notes:LOCATION ID IS THE SAME AS 73-1009 Aggregate:604, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
73-01011	NULL	35.88034	-106.27034	7131.130	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:LPS-2 Notes:LOCATION ID IS THE SAME AS 73-1011 Aggregate:600, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
73-02428	NULL	35.8811	-106.26933	7121.230	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes:LI-5  73-02428 Aggregate:, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
Acid Weir	NULL	35.88881	-106.30394	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Los Alamos	NULL	2012-03-15 10:48:00	[84]		Well Info	
Anderson Spring	NULL	35.86861	-106.33253	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
APCO-1	Alluvial	35.87295	-106.22032	6367.53	Qal	1990-08-15 00:00:00	19.70	2	4.7	14.700	NULL, NULL	NULL	General	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
B1	NULL	35.87374	-106.33013	7457.700	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Pajarito	NULL	2012-03-15 10:48:00	[84]		Well Info	
Barnstead millipore DI water	NULL	35.86773	-106.31568	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Mortendad	NULL	NULL	[84]		Well Info	
CDBO-1	Alluvial	35.83978	-106.25826	6757.600	Qal	1985-04-17 00:00:00	13.00	4 in	5.1	13.100	NULL, NULL	NULL	TA-54	Mortendad	A	NULL	[84]	Well Diameter [in] updated from MW	Well Info	
CDBO-2	Alluvial	35.84022	-106.25775	6748.200	Qal	1985-04-18 00:00:00	18.00	4 in	5.9	17.900	NULL, NULL	NULL	TA-54	Mortendad	A	NULL	[84]	Well Diameter [in] updated from MW	Well Info	
CDBO-3	Alluvial	35.83612	-106.24912	6670.200	Qal	1985-04-18 00:00:00	12.00	4 in	4.4	12.400	NULL, NULL	NULL	TA-54	Mortendad	A	NULL	[84]	Well Diameter [in] updated from MW	Well Info	
CDBO-4	Alluvial	35.83319	-106.23294	6564.500	Qal	1985-04-18 00:00:00	12.00	2 in	4.1	12.100	NULL, NULL	NULL	General	Mortendad	A	NULL	[84]	Well Diameter [in] updated from MW	Well Info	
CDBO-5	Alluvial	35.85317	-106.27306	6879.010	Qal	1992-01-01 00:00:00	17.00	2 in	7	17.000	NULL, NULL	NULL	General	Mortendad	A	NULL	[84]	Well Diameter [in] updated from MW	Well Info	
CDBO-6	Alluvial	35.85026	-106.2642	6817.2	Qal	1992-06-01 00:00:00	49.00	2	34	44.000	NULL, NULL	NULL	General	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
CDBO-7	Alluvial	35.84625	-106.26018	6771.81	NULL	1992-06-01 00:00:00	44.00	NULL	29	39.000	NULL, NULL	NULL	General	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
CDBO-8	Alluvial	35.84368	-106.25379	6722.470	Qal	1992-06-01 00:00:00	23.00	NULL	3	13.000	NULL, NULL	NULL	General	Mortendad	A	NULL	[84]		Well Info	
CDBO-9	Alluvial	35.83637	-106.24426	6633.000	Qal	1992-06-01 00:00:00	34.00	NULL	19	29.000	NULL, NULL	NULL	TA-54	Mortendad	A	NULL	[84]		Well Info	
Core Hole 2	Intermediate	35.87467	-106.29805	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Sandia	NULL	2012-03-15 10:48:00	[84]	Aquifer updated from MW	Well Info	
CrCH-1	NULL	35.85901	-106.26108	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
CrEX-1	NULL	35.85785	-106.25667	6831.303	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL, Coordinates from LANL	NULL	Chromium	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
CrEX-2	NULL	35.85898	-106.26088	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
