locationID	LONGITUDE	LATITUDE	GROUND_ELE	SURVEYING_	LOCATION_D	LOCATION_C	WELL_TOTAL	DEPTH_UNIT	TOP_OF_CAS	WELL_DIAME	PERFORATIO	PERFORAT_1	AQUIFER	HYDROSTRAT	GEOLOGICAL	WELL_COMPL	field_18
18-MW-11	-106.264896400000000	35.840314900000000	6740.13	PG	None	None	47	ft	None	2 in	27	47	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12481	
LAO-4	-106.248868100000000	35.872156199999900	6548	Stoker	None	Elevation revised based on LIDAR surface location pick	24	ft	None	3 in	14	24	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12143	
R-21	-106.247073099999000	35.834829999999900	6656.24	Completion Report	None	Location info taken from Brass Monument survey data from R-21 WCR.	941.4	ft	6656.24	6 in	888.8	906.8	Regional	Regional Top	Tp	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12125	
CrEX-4	-106.257978400000000	35.859934000000000	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
MCWB-7.4B	-106.267309700000000	35.860281999999900	6813.07	S. McLin	None	None	70	ft	None	3 in	45	65	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12243	
R-51 S1	-106.269336900000000	35.842631699999900	6762.17	Precision Surveys	None	brass cap location	None	None	None	None	915	925.2	Regional	Regional Top	Tpf	None	
MCA-3ac	-106.273050400000000	35.862095500000000	6853	Kleinfelder survey	None	Brass cap location	44	ft	6857.1	0.8 in	Multiple	Multiple	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12097	
MCO-9	-106.257966200000000	35.860180800000000	6749.67	LANL 1997 WP Mort Cy	None	None	55	ft	None	3 in	45	55	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12214	
PRB-MW-01	-106.277749600000000	35.863827000000000	6881.85	Alethea Banar	None	Mortandad Canyon Permeable Reactive Barrier - Monitoring well 1 (upstream)	None	ft	None	None	-9999	-9999	Alluvial	Alluvial	None	None	
R-44 S2	-106.251199000000000	35.856717000000000	6714.91	None	None	None	None	None	None	None	None	None	None	None	None	None	
R-62	-106.266465800000000	35.863120600000000	6984.88	None	None	Updated Location information from e-mail from RJK 4/2/2012	1189.7	ft	6984.88	5.0 in	1158.4	1179.1	Regional	Regional Top	Tjfp	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12370	
R-55 S2	-106.227508000000000	35.829687999999900	6533.86	None	None	Brass cap surveyed location	None	None	None	None	None	None	None	None	None	None	
41-01004	-106.311636400000000	35.879064399999900	7050	SURV TEK	None	Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:LAO-C	None	None	None	None	None	None	None	None	None	None	
R-5 S2	-106.228767199999000	35.873070499999900	6472.6	Completion Report	None	Location info taken from Brass cap monument survey data from R-5 WCR.	None	None	None	None	372.8	388.8	Intermediate	Intermediate	Tp	None	
3MAO-2	-106.272383899999000	35.839150599999900	6759.435	SW MTN SURVEY	None	Brass Cap	30	ft	None	4 in	14.7	24.7	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12497	
PU-10174	-106.301910400000000	35.888575199999900	6930.43	SURV TEK	None	Survey date and accuracy for coordinates and elevation are UNKNOWN.	None	None	None	None	None	None	None	None	None	None	
R-7 S3	-106.279538100000000	35.874689699999900	6779.2	Completion Report	None	Location info taken from Brass cap monument survey data from R-7 WCR.	None	None	None	None	895.5	937.4	Regional	Regional Top	Tp	None	
R-22 S4	-106.233442999999000	35.829245999999900	6650.5	None	None	original x, y = 1645327, 1757112	None	None	None	None	None	None	None	None	None	None	
SWA-2	-106.312434100000000	35.874748599999900	None	TERRANEAR PMC	None	None	None	None	None	None	None	None	None	None	None	None	
R-37	-106.258734300000000	35.844372900000000	6870.59	Well Completion Rpt	None	Brass monument location	None	None	None	None	None	None	None	None	None	None	
PAO-2.5	-106.282985300000000	35.885807900000000	6722.39	PG	None	None	10.25	ft	None	4 in	2.4	7.4	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12269	
R-14 S2	-106.285645000000000	35.861775999999900	7062.08	None	None	None	None	None	None	None	None	None	None	None	None	None	
LAOI(a)-1.1	-106.287094999999000	35.875433500000000	6835.2	NMED DOE-OB	None	None	310.2	ft	6837.94	3 in	295.2	305	Intermediate	Intermediate Perched	Qbog	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12137	
CDBO-8	-106.253788099999000	35.843684400000000	6722.47	None	None	None	23	ft	None	None	3	13	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12428	
R-56 S2	-106.249694100000000	35.834559900000000	6780.88	Well Completion Rpt	None	brass cap location	None	None	None	None	1046.6	1067.1	Regional	Regional Deep	Tpf	None	
R-12	-106.226350500000000	35.858922600000000	6499.6	Well Completion Rpt	None	Location information from Brass Cap survey data in WCR.	None	None	None	None	None	None	None	None	None	None	
R-1	-106.277211500000000	35.863557700000000	6881.21	R1 Completion Report	None	Coordinates obtained from Brass Cap Monument survey data in WCR.	1080.1	ft	6881.21	4.5 in	1031.1	1057.4	Regional	Regional Top	Tp	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12293	
MCWB-6.5E	-106.272218200000000	35.860764699999900	6843.8	S. McLin	None	None	50	ft	None	3 in	35	45	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12066	
R-35a	-106.243554100000000	35.862763899999900	6623.06	WCR, SW MTN SURVEY	None	Brass monument survey  Resurvey 02/10/09	1086.2	ft	6623.06	4.5 in	1013.1	1062.2	Regional	Regional Top	Tsfu	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12130	
Test Well 8	-106.276469800000000	35.863298999999900	6873.5	Stoker	None	None	1065	ft	None	8 in	953	1065	Regional	Regional	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12487	
SWA-1-1	-106.314747800000000	35.875410299999900	None	TERRANEAR PMC	None	Formerly a piezometer well SCPZ-1	None	None	None	None	None	None	None	None	None	None	
R-20 OB	-106.258708900000000	35.836344699999900	6694.35	Completion Report	None	Location info taken from Brass Monument survey data from R-20 WCR.	None	ft	None	None	-9999	-9999	Regional	Regional	None	None	
LAOI-3.2a OB	-106.259440100000000	35.873176200000000	6624.43	Kleinfelder 2006 WCR	None	Brass Cap Location	None	ft	None	None	-9999	-9999	Intermediate	Intermediate	None	None	
R-38	-106.248036000000000	35.837829999999900	6668.58	None	None	None	None	None	None	None	None	None	None	None	None	None	
R-50 S1	-106.255908000000000	35.856655000000000	6904.11	None	None	Brass cap location	None	None	None	None	None	None	None	None	None	None	
MCO-9.5	-106.256979800000000	35.860552300000000	6743.27	LANL 1997 WP Mort Cy	None	None	46	ft	None	2 in	26	46	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12213	
LAUZ-2	-106.271612000000000	35.877645999999900	7026.72	None	None	OU 1106 (TA-21)	None	None	None	None	None	None	None	None	None	None	
MCWB-6.2A	-106.272484700000000	35.861820500000000	6848.29	S. McLin	None	None	45.5	ft	None	3 in	30.5	40.5	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12234	
R-40 S2	-106.262782300000000	35.839384600000000	6719.24	Completion Report	None	Brass cap location	None	None	None	None	849.27	870	Regional	Regional Top	Tpf	None	
SWA-2-4	-106.312523600000000	35.874560899999900	None	TERRANEAR PMC	None	Formerly SCPZ-4	9	ft	7226.48	2 in	3	9	Alluvial	None	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12447	
CDBO-8	-106.253788099999000	35.843684400000000	6722.47	None	None	None	23	ft	None	None	3	13	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12428	
R-60	-106.296176700000000	35.860568100000000	7228.17	Well Completion Rpt	None	Brass Cap location from well completion report	1360.9	ft	7228.17	5 in	1330	1350.9	Regional	Regional Top	Tpf	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12368	
APCO-1	-106.220319700000000	35.872950899999900	6367.53	Stoker	None	None	19.7	ft	None	2 in	4.7	14.7	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12438	
02-01021	-106.292927199999000	35.876393499999900	6887.58	SURV TEK	None	Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc:WELL IMMEDIATELY WEST OF TA-2 Notes: Aggregate:	None	None	None	None	None	None	None	None	None	None	
LAO-3a	-106.258221900000000	35.873173100000000	6609.1	Stoker	None	Elevation revised based on LIDAR surface location pick	14.7	ft	6609.1	2 in	4.7	14.7	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12148	
03-B-13	-106.330083400000000	35.873743699999900	7458.26	None	None	None	None	None	None	None	None	None	None	None	None	None	
PCAO-7a	-106.261735100000000	35.838692500000000	6711.97	SW MTN SURVEY	None	Brass Cap	25	ft	None	4 in	9.7	19.7	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12277	
MCA-2	-106.271327700000000	35.860770500000000	6837.2	Kleinfelder survey	None	Brass cap location	65	ft	6839.6	2.1 in	45	60	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12099	
R-55 S1	-106.227508000000000	35.829687999999900	6533.86	None	None	Brass cap surveyed location	None	None	None	None	None	None	None	None	None	None	
SCPZ-5	-106.312481700000000	35.874673999999900	None	None	None	None	None	ft	None	None	3	5.4	Alluvial	Alluvial	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12070	
R-62	-106.266465999999000	35.863121000000000	6984.88	None	None	None	None	None	None	None	None	None	None	None	None	None	
R-28	-106.254819000000000	35.860148000000000	6728.61	None	None	original x, y, z = 1638357.25, 1768449.74, 6756	None	None	None	None	None	None	None	None	None	None	
18-MW-12	-106.264430000000000	35.838853000000000	6725.7	None	None	TA-18	None	None	None	None	None	None	None	None	None	None	
18-MW-18	-106.251658699999000	35.832368799999900	6654.7	ECR GIS Team, McLean	None	None	23	ft	6654.7	2 in	12.5	23	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12112	
R-39	-106.234551499999000	35.827537499999900	6580.86	Well Completion Rpt	None	Brass cap location	875.57	ft	6580.86	5 in	859.03	869.03	Regional	Regional Top	Tpf	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12346	
R-20 S2	-106.258708900000000	35.836344699999900	6694.35	Completion Report	None	Location info taken from Brass Monument survey data from R-20 WCR.	None	None	None	None	1147.1	1154.7	Regional	Regional Deep	Tjfp	None	
MCWB-8.1C	-106.262996700000000	35.860622999999900	6785.63	S. McLin	None	None	80	ft	None	None	55	75	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12248	
R-14 S1	-106.285645400000000	35.861775999999900	7062.08	WCR, SW MTN SURVEY	None	Location info taken from Brass Cap survey data for R-14.	None	None	None	None	1200.6	1233.2	Regional	Regional Top	Tp	None	
R-22 OB	-106.233443200000000	35.829246499999900	6650.5	Well Completion Rpt	None	Location info taken from Brass cap survey data from R-22 WCR.	None	ft	None	None	-9999	-9999	Regional	Regional	None	None	
SCA-2	-106.264520000000000	35.865434999999900	6749.08	None	None	Chromium Invstitgation alluvial well in Sandia Canyon	None	None	None	None	None	None	None	None	None	None	
LAO-1	-106.287204300000000	35.875520999999900	6836.24	Stoker	None	None	28	ft	None	3 in	8	28	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12151	
MCWB-6.5C	-106.271678499999000	35.861247200000000	6841.02	S. McLin	None	None	47.5	ft	None	3 in	32.5	42.5	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12238	
R-3	-106.220900700000000	35.871793400000000	6395.88	Precision Surveys	None	Brass cap survey location	1006.8	ft	6395.88	5 in	974.5	995	Regional	Regional Top	Tsf	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12038	
R-22 S1	-106.233443200000000	35.829246499999900	6650.5	Well Completion Rpt	None	Location info taken from Brass cap survey data from R-22 WCR.	None	None	None	None	872.3	914.2	Regional	Regional	Tb4	None	
R-23i S1	-106.224763000000000	35.823852000000000	6527.88	None	None	4.5 inch casing. This corresponds to LANL's R-23i S2	None	None	None	None	None	None	None	None	None	None	
R-17 S1	-106.292590000000000	35.853279000000000	6921.51	None	None	None	None	None	None	None	None	None	None	None	None	None	
R-56 S1	-106.249694100000000	35.834559900000000	6780.88	Well Completion Rpt	None	brass cap location	None	None	None	None	945	965.6	Regional	Regional Top	Tpf	None	
R-22	-106.233443200000000	35.829246499999900	6650.5	Well Completion Rpt	None	Location info taken from Brass cap survey data from R-22 WCR.	None	None	None	None	None	None	None	None	None	None	
18-MW-4	-106.268598900000000	35.842343999999900	6758.3	PG	None	None	None	None	None	None	None	None	None	None	None	None	
LADP-5	-106.269469700000000	35.877294700000000	7018.06	PG	None	plugged and abandoned	None	None	None	None	None	None	None	None	None	None	
PAO-2.5	-106.282985300000000	35.885807900000000	6722.39	PG	None	None	10.25	ft	None	4 in	2.4	7.4	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12269	
R-9	-106.223606000000000	35.866982000000000	6382.8	None	None	Original x, y, z = 1648241.4, 1770843.9, 6385.36	None	None	None	None	None	None	None	None	None	None	
R-44 S1	-106.251199000000000	35.856717000000000	6714.91	None	None	None	None	None	None	None	None	None	None	None	None	None	
SWA-3	-106.311086300000000	35.873797199999900	None	TERRANEAR PMC	None	Formerly SWA-3	None	None	None	None	None	None	None	None	None	None	
R-10 S2	-106.205965300000000	35.850271200000000	6362.31	Kleinfelder data	None	Brass Cap location Kleinfelder survey	None	None	None	None	1042	1065	Regional	Regional Deep	Tsf	None	
SCPZ-11(A)	-106.310584600000000	35.873650599999900	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
PU-00181	-106.259010100000000	35.883493399999900	6578.58	SURV TEK	None	Survey date and accuracy for coordinates and elevation are UNKNOWN. Pueblo Canyon alluvial wellefile N. McCranie allu PAO-3	None	None	None	None	None	None	None	None	None	None	
R-51 S1	-106.269336900000000	35.842631699999900	6762.17	Precision Surveys	None	brass cap location	None	None	None	None	914.96	925.24	Regional	Regional Top	Tpf	None	
R-61 S1	-106.261204000000000	35.857576000000000	6940.12	None	None	Preliminary information	None	None	None	None	None	None	None	None	None	None	
R-37 S2	-106.258734300000000	35.844372900000000	6870.59	Well Completion Rpt	None	Brass monument location	None	None	None	None	1026	1046.6	Regional	Regional Top	Tpf	None	
CrEX-3	-106.254952200000000	35.859668800000000	6734.601	D. FRANK	None	None	1004.5	ft	6734.6	8 in	909.6	948.8	Regional	Regional Top	Tpf	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12033	
LAOI-3.2	-106.259365399999000	35.873082799999900	6622.6	Kleinfelder 2006 WCR	None	added for P Longmire.  Location data taken from Brass Cap survey data.	165	ft	6622.6	2.1 in	153.3	162.8	Intermediate	Intermediate Perched	Qbog	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12136	
R-49	-106.238245800000000	35.827298499999900	6584.54	SW MTN SURVEY	None	Brass cap location	None	None	None	None	None	None	None	None	None	None	
LAO-1.8	-106.266777200000000	35.871967800000000	6680	None	None	None	18	ft	None	3 in	8	18	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12152	
R-37 S1	-106.258734300000000	35.844372900000000	6870.59	Well Completion Rpt	None	Brass monument location	None	None	None	None	929.3	950	Intermediate	Intermediate Perched	Tpf	None	
R-11	-106.251543500000000	35.862881500000000	6673.72	Kleinfelder 2005 WCR	None	Location information taken from the Brass Cap Monument of the new R-11 well.	901.7	ft	6673.72	4.5 in	855	877.9	Regional	Regional Top	Tp	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12314	
R-9i S1	-106.223720500000000	35.866956199999900	6383.2	Completion Report	None	Location info taken from Brass monument survey data from R-9i WCR.	None	None	None	None	189.1	199.5	Intermediate	Intermediate Perched	Tb4	None	
TSCA-6	-106.275183900000000	35.860455399999900	6863.2	Kleinfelder survey	None	Brass cap location, ER B-15/A-6, located in lower Ten Site Canyon	21.3	ft	None	2.1 in	16.2	20.9	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12465	
R-70 S2	-106.248582600000000	35.859699499999900	6692.62	None	Brass cap	Coordinates estimated from Google Earth.	None	None	None	None	1048	1068.5	None	None	None	None	
R-19 S5	-106.285420800000000	35.837871700000000	7066.3	Well Completion Rpt	None	Location info taken from Brass Cap survey data in R-19 WCR.	None	None	None	None	1582.6	1589.8	Regional	Regional Deep	Tpf	None	
MCO-8.2	-106.262528600000000	35.860936799999900	6781.6	LANL 1997 WP Mort Cy	None	None	70	ft	None	2 in	60	70	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12206	
R-3i	-106.220364600000000	35.871794500000000	6390.15	Well Completion Rpt	None	Brass monument survey from R-3i WCR	220.34	ft	None	None	215.2	220	Intermediate	Intermediate	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12039	
R-41 S2	-106.233804800000000	35.830989600000000	6660.53	Well Completion Rpt	None	Brass cap location	None	None	None	None	965.3	975	Regional	Regional Top	Tpt	None	
LAO-0.7	-106.294572800000000	35.876353700000000	6904	Pratt	None	RJK added elev 8/3/05	23	ft	None	2 in	15	20	Alluvial	Alluvial	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12157	
MCWB-6.6	-106.271585000000000	35.860715100000000	6839.35	S. McLin	None	None	47.5	ft	None	3 in	32.5	42.5	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12240	
R-5 S1	-106.228767199999000	35.873070499999900	6472.6	Completion Report	None	Location info taken from Brass cap monument survey data from R-5 WCR.	None	None	None	None	326.4	331.5	Intermediate	Intermediate	Tp	None	
R-22 S5	-106.233442999999000	35.829245999999900	6650.5	None	None	original x, y = 1645327, 1757112	None	None	None	None	None	None	None	None	None	None	
Test Well 8	-106.276469800000000	35.863298999999900	6873.5	Stoker	None	None	1065	ft	None	8 in	953	1065	Regional	Regional	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12487	
R-14 S1	-106.285645000000000	35.861775999999900	7062.08	None	None	None	None	None	None	None	None	None	None	None	None	None	
CDBO-7	-106.260179200000000	35.846252800000000	6771.81	Stoker	None	None	44	ft	None	None	29	39	Alluvial	Alluvial	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12429	
Test Well 1	-106.217512799999000	35.870358799999900	6369.19	Stoker	None	None	642	ft	None	8 in	632	642	Regional	Regional	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12469	
R-5	-106.228767199999000	35.873070499999900	6472.6	Completion Report	None	Location info taken from Brass cap monument survey data from R-5 WCR.	None	None	None	None	None	None	None	None	None	None	
MCOI-6	-106.267114199999000	35.860337600000000	6811.1	Kleinfelder survey	None	Brass Monument	713.22	ft	6811.1	4.5 in	686	713.22	Intermediate	Intermediate Perched	Tb4	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12227	
R-33 S1	-106.273675000000000	35.860624000000000	6853.33	None	None	Location on mesa top near PM-5	None	None	None	None	None	None	None	None	None	None	
Test Well 2A	-106.271038200000000	35.884678200000000	6650.4	Stoker	None	None	133	ft	None	8 in	123	133	Intermediate	Intermediate	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12472	
LAO-6	-106.230405000000000	35.868308399999900	6423.5	None	None	Elevation revised based on LIDAR surface location pick	16	ft	None	3 in	6	16	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12141	
PA-26616	-106.224762500000000	35.823851800000000	6527.9	REFERENCE	None	Accuracy of coordinates is unknown. Coordinates are from Final Completion Report for Intermediate Well R-23i.	None	None	None	None	None	None	None	None	None	None	
LAOI-3.2 OB	-106.259365399999000	35.873082799999900	6622.6	Kleinfelder 2006 WCR	None	added for P Longmire.  Location data taken from Brass Cap survey data.	None	ft	None	None	-9999	-9999	Intermediate	Intermediate	None	None	
PAO-5s	-106.220418499999000	35.872872299999900	6368.3	PG	None	None	20.9	ft	None	4 in	8.05	18.05	Alluvial	Alluvial	Tpf	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12274	
MCWB-7A	-106.270452199999000	35.860674899999900	6831.17	S. McLin	None	None	52	ft	None	None	37	47	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12049	
R-5 S2	-106.228767199999000	35.873070499999900	6472.6	Completion Report	None	Location info taken from Brass cap monument survey data from R-5 WCR.	None	None	None	None	372.8	388.8	Intermediate	Intermediate	Tp	None	
R-12 S2	-106.226350500000000	35.858922600000000	6499.6	Well Completion Rpt	None	Location information from Brass Cap survey data in WCR.	None	None	None	None	504.5	508	Intermediate	Intermediate Perched	Tp	None	
PCAO-6	-106.293216400000000	35.853354699999900	6921.4	SW MTN SURVEY	None	Brass Cap	20	ft	None	4 in	8	15	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12276	
R-50 S2	-106.255908000000000	35.856655000000000	6904.11	None	None	Brass cap location	None	None	None	None	None	None	None	None	None	None	
