LOC_LOCATI	LOC_SITE_I	LOC_LOCA_1	LOC_LOCA_2	LOC_LOCA_3	LOC_NORTHI	LOC_EASTIN	LOC_GROUND	LOC_ESTABL	LOC_ESTA_1	LOC_SURVEY	LOC_SURV_1	LOC_SURV_2	LOC_LOCA_4	LOC_BARCOD	LOC_LOCA_5	LOC_RECORD	LOC_LONGIT	LOC_LATITU	LOC_LATI_1	LOC_LATI_2	LOC_LATI_3	LOC_LONG_1	LOC_LONG_2	LOC_LONG_3	LOC_ORIGIN	LOC_ORIG_1	LOC_ORIG_2	LOC_RECO_1	LOC_RIVER_	LOC_GRID_N	LOC_GRID_S	LOC_LOCA_6	LOC_SUBSIT	LOC_PROPER	LOC_LOCA_7	LOC_INSERT	LOC_INSE_1	LOC_LAST_M	LOC_LAST_1	LOC_INACTI	LOC_DIRECT	LOC_INAC_1	LOC_LOCA_8	LOC_LANL_L	LOC_LOCA_9	LOC_ULI	LOC_LOCA10	LOC_EXCAVA	LOC_LOCA11	LOC_REGULA	LOC_DOWNST	LOC_UPSTRE	LOC_E_DATA	LOC_LOCA12	LOC_LOCA13	LOC_WATER_	LOC_SURV_3	LOC_IEc_Me	PZ_LOCATIO	PZ_WELL_ID	PZ_SITE_ID	PZ_PERFORA	PZ_PERFO_1	PZ_PERFO_2	PZ_AQUIFER	PZ_WELL_PE	PZ_WELL__1	PZ_HYDROST	PZ_REPORT_	PZ_INSERTE	PZ_INSERT_	PZ_LAST_MO	PZ_LAST__1	PZ_PORT_ID	PZ_GEOLOGI	PZ_CASING_	PZ_CHAMBER	PZ_CHAMB_1	WELL_WELL_	WELL_SITE_	WELL_WEL_1	WELL_WEL_2	WELL_WEL_3	WELL_TOP_O	WELL_DRILL	WELL_DRI_1	WELL_DRI_2	WELL_FIELD	WELL_WEL_4	WELL_WEL_5	WELL_WEL_6	WELL_PROJE	WELL_PHASE	WELL_TASK	WELL_WEL_7	WELL_WEL_8	WELL_MULTI	WELL_BUBBL	WELL_DEPTH	WELL_WEL_9	WELL_WEL10	WELL_WEL11	WELL_WEL12	WELL_LOGGI	WELL_INSER	WELL_INS_1	WELL_LAST_	WELL_LAS_1	WELL_DRI_3	WELL_WEL13	WELL_WEL14	WELL_SOURC	LWA_Commen	Mon_Area	Watershed
03-02681	LANL	SS(0-1ft)	NULL	NULL	1773129.892999990000000	1616505.162000000000000	7405.130	NULL	NULL	SURV TEK	NULL	NULL	NULL	NULL	NULL	NULL	-106.330710000000000	35.873230000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Administrator	2000-11-28 00:00:00	npatel	2016-11-18 10:35:00	NULL	NULL	NULL	Location Desc:00-2681 Notes: Aggregate:03-010(a)	03-02681	NULL	10003264	1974	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	General	Pajarito
03-24529	LANL	BH	NULL	NULL	1773331.381800000000000	1616671.897700000000000	7457.980	NULL	NULL	SW MTN SURVEY	NULL	NULL	NULL	NULL	NULL	NULL	-106.330150000000000	35.873779999999900	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Administrator	2005-05-05 14:05:00	Administrator	2005-08-11 13:54:00	NULL	NULL	NULL	NULL	03-24529	NULL	10003836	2430	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	General	Sandia
03-24530	LANL	BH	NULL	NULL	1773307.213999990000000	1616682.081999990000000	7458.280	NULL	NULL	SW MTN SURVEY	NULL	NULL	NULL	NULL	NULL	NULL	-106.330119999999000	35.873719999999900	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Administrator	2005-05-05 14:05:00	Administrator	2005-08-11 13:54:00	NULL	NULL	NULL	NULL	03-24530	NULL	10003837	2431	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	General	Pajarito
03-24548	LANL	BH	NULL	NULL	1773317.070400000000000	1616691.691000000000000	7458.260	NULL	NULL	SW MTN SURVEY	NULL	NULL	NULL	NULL	NULL	NULL	-106.330080000000000	35.873739999999900	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Administrator	2005-05-10 13:18:00	Administrator	2005-08-11 13:54:00	NULL	NULL	NULL	NULL	03-24548	NULL	10003842	2436	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	General	Pajarito
03-B-10	LANL	MON	NULL	NULL	1773307.213999990000000	1616682.081999990000000	7458.280	NULL	NULL	DOE 2005	NULL	NULL	NULL	NULL	NULL	NULL	-106.330119999999000	35.873719999999900	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Administrator	2006-03-21 00:00:00	114816	2010-02-24 15:00:00	NULL	NULL	NULL	Ground surface elevation Plugged and Abandoned 9/25/09	03-B-10	NULL	10601332	16445	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	03-B-10	03-B-10	LANL	20.6	30.600	1	Intermediate	109	NULL	NULL	NULL	114816	2006-05-24 00:00:00	ejacobs	2015-05-11 16:07:00	NULL	Qbt4	3	NULL	NULL	03-B-10	LANL	NULL	2005-06-04 00:00:00	31.10	NULL	Spectrum Exploration	Steven M Tanuz	NULL	K. Herrell, G. Stoopes	NULL	PA	NULL	NULL	NULL	NULL	P&A 9/25/09	1029	N	NULL	ft	NULL	2	in	NULL	NULL	114816	2006-05-24 00:00:00	ejacobs	2015-05-11 15:49:00	35	NULL	NULL	NULL	NULL	General	Pajarito
03-B-13	LANL	MON	NULL	NULL	1773317.070400000000000	1616691.691000000000000	7458.260	NULL	NULL	DOE 2005	NULL	NULL	NULL	NULL	NULL	NULL	-106.330080000000000	35.873739999999900	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Administrator	2006-03-21 00:00:00	Administrator	2008-02-11 00:00:00	NULL	NULL	NULL	Ground surface elevation	03-B-13	NULL	10601333	16446	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	03-B-13	03-B-13	LANL	21.5	31.500	1	Intermediate	110	NULL	Intermediate Perched	NULL	114816	2006-05-24 00:00:00	ZDuran	2017-02-10 14:06:00	NULL	Qbt3	1	0.01	32	03-B-13	LANL	NULL	2005-06-10 00:00:00	32.00	NULL	NULL	NULL	NULL	NULL	NULL	A	NULL	NULL	NULL	NULL	NULL	1030	N	NULL	ft	NULL	2	in	NULL	NULL	114816	2006-05-24 00:00:00	kgreene	2016-05-12 09:59:00	35	NULL	NULL	NULL	NULL	General	Pajarito
03-B-9	LANL	MON	NULL	NULL	1773331.381800000000000	1616671.897700000000000	7457.980	NULL	NULL	DOE 2005	NULL	NULL	NULL	NULL	NULL	NULL	-106.330150000000000	35.873779999999900	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Administrator	2006-03-21 00:00:00	114816	2010-02-24 15:03:00	NULL	NULL	NULL	Ground surface elevation Plugged and Abanonded 9/25/09	03-B-9	NULL	10601334	16447	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	03-B-9	03-B-9	LANL	21.3	31.300	1000004	Intermediate	111	NULL	NULL	NULL	114816	2006-05-24 00:00:00	114816	2006-05-24 00:00:00	NULL	NULL	3	NULL	NULL	03-B-9	LANL	NULL	2005-06-03 00:00:00	31.80	NULL	NULL	NULL	NULL	NULL	NULL	PA	NULL	NULL	NULL	NULL	P&amp;A 9/25/09	1028	N	NULL	ft	NULL	NULL	NULL	NULL	NULL	114816	2006-05-24 00:00:00	114816	2010-06-22 10:55:00	35	NULL	NULL	NULL	NULL	General	Sandia
03-MW-1	0	NULL	NULL	NULL	1773314.300000000000000	1616678.899999990000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-106.330130000000000	35.873739999999900	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NMED	03-MW-1	03-MW-1	LANL	23	28.000	1000004	Intermediate	112	P&A 2005	NULL	NULL	114816	2006-04-13 00:00:00	114816	2006-04-13 00:00:00	NULL	Qbt3	3	NULL	NULL	03-MW-1	LANL	NULL	1994-09-22 00:00:00	28.80	NULL	NULL	NULL	NULL	NULL	NULL	PA	NULL	NULL	NULL	NULL	ER ID 03-02664 plugged and abandoned 6/7/05	960	N	NULL	ft	NULL	NULL	NULL	NULL	NULL	114816	2006-01-04 00:00:00	114816	2006-06-26 00:00:00	29	NULL	NULL	NULL	NULL	General	Pajarito
06-22848	LANL	NOC	NULL	NULL	1773884.070000000000000	1636011.020000000000000	NULL	NULL	NULL	R-6/R-6i WCR	NULL	NULL	NULL	NULL	NULL	NULL	-106.264870000000000	35.875329999999900	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Administrator	2004-06-14 15:02:00	206958	2008-09-16 13:57:00	NULL	Los Alamos Canyon	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location R-6. Confirmed in R-6 Well Completion Report. Coordinate accuracy is unknown.	06-22848	NULL	10004635	2775	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	TA-21	Los Alamos
11-22513	LANL	BH	NULL	NULL	1769353.570000000000000	1639959.310000000000000	NULL	NULL	NULL	Kleinfelder 2005 WCR	NULL	NULL	NULL	NULL	NULL	NULL	-106.251540000000000	35.862879999999900	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Administrator	2003-08-13 12:47:00	206958	2008-09-16 13:57:00	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location R-11. Coordinate accuracy is unknown.	11-22513	NULL	10005478	3247	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chromium	Sandia
14-02-19968	LANL	BH	NULL	NULL	1768951.350000000000000	1629856.310000000000000	7062.080	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-106.285640000000000	35.861770000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Administrator	2002-05-29 16:03:00	Administrator	2002-08-20 13:32:00	NULL	NULL	NULL	NULL	14-02-19968	NULL	10005635	3349	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	MDA C	Mortendad
18-01023	LANL	BHover10ft	NULL	NULL	1758233.200000000000000	1639834.399999990000000	6647.800	NULL	NULL	ICF KE	NULL	NULL	NULL	NULL	NULL	NULL	-106.251960000000000	35.832329999999900	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Administrator	2000-11-28 00:00:00	npatel	2016-11-18 10:35:00	NULL	NULL	NULL	Location Desc: Notes: Aggregate:	18-01023	NULL	10009452	5089	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	TA-54	Pajarito
