Location I	Figure Number	Aquifer	Latitude	Longitude	Ground Ele	Geologic U	Well Insta	Total Well	Well Diame	Screen Top	Screen Bot	Comments	WELL_COMPL	Monitoring	Watershed	Well Statu	Inactive D	TOC Elevat	LWA Notes	Source
MCWB-5.5A	11	Alluvial	35.862394	-106.2734938	6858.36	Qal		37.5	3 in	22.5	32.5	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12231					None		Monitoring Wells
MCA-3ac	12	Alluvial	35.8620955	-106.2730504	6853	Qal		44	0.8 in	Multiple	Multiple	Brass cap location, Brass cap location	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12097					6857.1		Monitoring Wells
MCA-3b	13	Alluvial	35.8620998	-106.2730419	6852.9	Qal		42.1	0.8 in	40.9	41.4	Brass cap location, Brass cap location	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12096					6855.3		Monitoring Wells
MCO-6B	14	Alluvial	35.86186	-106.2729	6850.29	Qal	8/1/1990 0:00	47.1	2 in	22	42	NULL, NULL	NULL	Chromium	Mortendad	A	3/15/2012 10:48	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info
MCO-6	15	Alluvial	35.86194	-106.27289	NULL	Qal	3/1/1974 0:00	47	4	27	47	NULL, Replaced older MCO-6 that was P&A	NULL	Chromium	Mortendad	A	NULL	[84]		Well Info
MCWB-6.2C	16	Alluvial	35.8616154	-106.2727284	6847.98	Qal		42.5	3 in	25	30	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12236					None		Monitoring Wells
MCWB-6.2B	17	Alluvial	35.8616273	-106.2727189	6848.01	Qal		32.5	3 in	27.5	37.5	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12235					None		Monitoring Wells
MCWB-6.2A	18	Alluvial	35.8618205	-106.2724847	6848.29	Qal		45.5	3 in	30.5	40.5	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12234					None		Monitoring Wells
MCWB-6.5E	19	Alluvial	35.86077	-106.27222	6843.8	Qal	12/21/1994 0:00	50	3 in	35	45	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info
MCO-6.5A	20	Alluvial	35.8608	-106.27217	6842.19	NULL	11/1/1961 0:00	45	NULL	25	45	Plugged and abandoned in 2000, see Benak et al. 2000, NULL	NULL	Chromium	Mortendad	A	3/15/2012 10:48	[84]		Well Info
MCWB-6.5D	21	Alluvial	35.8606339	-106.2720674	6843.2	Qal		42.5	3 in	32.5	42.5	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12239					None		Monitoring Wells
MCO-6.5B	22	Alluvial	35.86105	-106.27178	6838.84	NULL	11/1/1961 0:00	42	NULL	22	42	Plugged and abandoned in 2000, see Benak et al. 2000, NULL	NULL	Chromium	Mortendad	A	3/15/2012 10:48	[84]		Well Info
MCWB-6.5C	23	Alluvial	35.8612472	-106.2716785	6841.02	Qal		47.5	3 in	32.5	42.5	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12238					None		Monitoring Wells
MCWB-6.6	24	Alluvial	35.8607151	-106.271585	6839.35	Qal		47.5	3 in	32.5	42.5	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12240					None		Monitoring Wells
MCA-2	25	Alluvial	35.86077	-106.27133	6837.2	Qal	10/24/2004 0:00	65	2.1 in	45	60	Brass cap location, NULL, Brass cap location, Brass cap location	NULL	Chromium	Mortendad	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info
MCWB-7B	26	Alluvial	35.8604516	-106.270474	6832.45	Qal		47.5	None	32.5	42.5	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12072					None		Monitoring Wells
MCWB-7A	27	Alluvial	35.8606749	-106.2704522	6831.17	Qal		52	None	37	47	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12049					None		Monitoring Wells
MCO-7A	28	Alluvial	35.86056	-106.26996	6827.58	Qal	11/4/1989 0:00	44.8	3 in	34.8	44.8	NULL, NULL	NULL	Chromium	Mortendad	A	3/15/2012 10:48	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info
MCO-7	29	Alluvial	35.86056	-106.26991	6827.31	Qal	10/1/1960 0:00	69	3	39	69	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info
MCA-3def	30	Alluvial	35.8605989	-106.2686655	6819.8	Qal		55.8	0.8 in	Multiple	Multiple	Brass cap location, Brass cap location	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12095					6822.8		Monitoring Wells
MCWB-7.2	31	Alluvial	35.8605127	-106.2684261	6818.86	Qal		67.5	3 in	42.5	62.5	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12241					None		Monitoring Wells
MT-1	32	Alluvial	35.86052	-106.26739	6811.63	NULL	11/1/1988 0:00	69	NULL	39	59	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]		Well Info
MCWB-7.4A	33	Alluvial	35.860726	-106.2673685	6812.4	Qal		70	3 in	45	65	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12242					None		Monitoring Wells
MCWB-7.4B	34	Alluvial	35.860282	-106.2673097	6813.07	Qal		70	3 in	45	65	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12243					None		Monitoring Wells
MCO-7.5	35	Alluvial	35.86037	-106.26675	NULL	NULL	4/1/1974 0:00	60	NULL	35	60	NULL, Redrilled in 1974	NULL	Chromium	Mortendad	A	NULL	[84]		Well Info
MCWB-7.7A	36	Alluvial	35.8610869	-106.2652359	6798.31	Qal		70	3 in	52.5	62.5	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12244					None		Monitoring Wells
MCWB-7.7B	37	Alluvial	35.86058	-106.26517	NULL	NULL	12/20/1994 0:00	70	NULL	55	65	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]		Well Info
MT-3	38	Alluvial	35.86097	-106.26497	6796.65	NULL	11/1/1988 0:00	74	NULL	44	64	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info
MCO-8	39	Alluvial	35.86062	-106.26484	6796.7	NULL	10/1/1960 0:00	84	NULL	64	84	Plugged and abandoned in 2000, see Benak et al. 2000, Plugged and abandoned	NULL	Chromium	Mortendad	PA	3/15/2012 10:48	[84]		Well Info
MT-2	40	Alluvial	35.86066	-106.26484	6796.2	NULL	11/1/1988 0:00	64	NULL	44	64	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]		Well Info
MCWB-8.1A	41	Alluvial	35.8610965	-106.2630418	6785.95	Qal		75	None	50	70	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12246					None		Monitoring Wells
MT-4	42	Alluvial	35.86091	-106.26302	NULL	NULL	11/1/1988 0:00	74	NULL	54	64	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]		Well Info
MCWB-8.1B	43	Alluvial	35.8608608	-106.2630161	6783.8	Qal		72.5	None	47.5	67.5	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12247					None		Monitoring Wells
MCWB-8.1C	44	Alluvial	35.860623	-106.2629967	6785.63	Qal		80	None	55	75	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12248					None		Monitoring Wells
MCO-8.2	45	Alluvial	35.86094	-106.26253	6781.6	Qal	11/1/1961 0:00	70	2 in	60	70	NULL, NULL	NULL	Chromium	Mortendad	A	3/15/2012 10:48	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info
MCO-9	46	Alluvial	35.8601808	-106.2579662	6749.67	Qal		55	3 in	45	55	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12214					None		Monitoring Wells
MCWB-9B	47	Alluvial	35.8605115	-106.2579232	6753.6	Qal		80	None	55	75	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12250					None		Monitoring Wells
MCWB-9A	48	Alluvial	35.860887	-106.2577408	6752.11	Qal		75	None	50	70	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12249					None		Monitoring Wells
MCO-9.5	49	Alluvial	35.8605523	-106.2569798	6743.27	Qal		46	2 in	26	46	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12213					None		Monitoring Wells
MCO-12	50	Alluvial	35.8597293	-106.2503049	6697.15	Qal		108	2 in	88	108	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12217					None		Monitoring Wells
MCO-13	51	Alluvial	35.85779	-106.24744	6674.48	NULL	7/1/1970 0:00	107	2 in	87	107	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]	Ground Elevation updated from MW, Well Diameter [in] updated from MW	Well Info
MCA-8	52	Alluvial	35.85744	-106.2469329	6668.8	Qal		86.3	2.1 in	66	81	Brass cap location, Brass cap location	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12091					6671.4		Monitoring Wells
MCA-9	53	Alluvial	35.8574958	-106.2464442	6671.7	Qal		113	2.1 in	92.8	107.8	Brass cap location, Brass cap location	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12090					6674		Monitoring Wells
